"UNIT","GEO","TIME","DAYSWEEK","SEX","ACL00","Value","Flag and Footnotes"
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Reading books","0:06",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Reading, except books","0:14",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","TV and video","2:25",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Radio and music","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Travel except travel related to jobs","1:21",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Travel to/from work","0:19",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Travel related to shopping and services","0:13",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Transporting a child","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Travel related to other household purposes","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:38",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Unspecified travel","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Unspecified time use","0:05",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Personal care","10:57",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Sleep","8:21",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Eating","1:42",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Other and/or unspecified personal care","0:54",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","2:49",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Main and second job and related travel","2:45",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:04",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Study","0:11",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","School and university except homework","0:05",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Homework","0:04",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Free time study","0:02",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Household and family care","3:02",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Food management except dish washing","0:31",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Dish washing","0:11",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Cleaning dwelling","0:24",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:15",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Laundry","0:07",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Ironing","0:04",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:02",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Gardening; other pet care","0:11",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Tending domestic animals","0:01",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Caring for pets","0:03",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Walking the dog","0:05",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Construction and repairs ","0:07",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Shopping and services","0:36",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:09",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Teaching, reading and talking with child","0:07",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Household management and help family member","0:10",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Leisure, social and associative life","5:43",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Organisational work","0:07",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Informal help to other households","0:08",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Participatory activities","0:03",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Visiting and feasts","0:17",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Other social life","0:42",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Entertainment and culture","0:14",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Resting","0:20",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Walking and hiking","0:09",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:19",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Computer games","0:07",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Computing","0:23",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:12",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Reading books","0:08",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Reading, except books","0:25",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","TV and video","2:03",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Radio and music","0:04",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Unspecified leisure ","0:02",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Travel except travel related to jobs","1:18",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Travel to/from work","0:21",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Travel related to shopping and services","0:13",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Transporting a child","0:03",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Travel related to other household purposes","0:02",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:30",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Unspecified travel","0:03",""
"Time spent (hh:mm)","Germany","2010","All days of the week","Total","Unspecified time use","0:04",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Personal care","10:58",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Sleep","8:43",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Eating","1:21",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Other and/or unspecified personal care","0:54",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","3:15",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Main and second job and related travel","3:12",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:03",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Study","0:09",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","School and university except homework","0:04",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Homework","0:04",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Free time study","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Household and family care","3:16",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Food management except dish washing","0:44",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Dish washing","0:12",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Cleaning dwelling","0:19",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:18",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Laundry","0:04",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Ironing","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:05",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Gardening; other pet care","0:12",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Tending domestic animals","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Caring for pets","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Walking the dog","0:04",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Construction and repairs ","0:11",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Shopping and services","0:25",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:18",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Teaching, reading and talking with child","0:08",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Household management and help family member","0:09",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Leisure, social and associative life","5:03",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Organisational work","0:01",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Informal help to other households","0:10",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Participatory activities","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Visiting and feasts","0:22",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Other social life","0:11",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Entertainment and culture","0:07",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Resting","0:25",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Walking and hiking","0:13",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:13",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Computer games","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Computing","0:31",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:06",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Reading books","0:12",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Reading, except books","0:14",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","TV and video","2:09",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Radio and music","0:03",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Travel except travel related to jobs","1:19",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Travel to/from work","0:25",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Travel related to study","0:01",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Travel related to shopping and services","0:20",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Transporting a child","0:02",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Travel related to other household purposes","0:00",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:20",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Unspecified travel","0:05",""
"Time spent (hh:mm)","Estonia","2010","All days of the week","Total","Unspecified time use","0:05",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Personal care","11:34",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Sleep","8:24",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Eating","2:13",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Other and/or unspecified personal care","0:57",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","2:34",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Main and second job and related travel","2:32",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:02",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Study","0:13",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","School and university except homework","0:06",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Homework","0:06",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Free time study","0:01",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Household and family care","3:01",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Food management except dish washing","0:48",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Dish washing","0:20",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Cleaning dwelling","0:27",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:07",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Laundry","0:05",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Ironing","0:09",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:02",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Gardening; other pet care","0:11",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Tending domestic animals","0:02",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Caring for pets","0:01",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Walking the dog","0:03",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Construction and repairs ","0:05",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Shopping and services","0:19",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:09",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Teaching, reading and talking with child","0:09",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Household management and help family member","0:03",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Leisure, social and associative life","5:34",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Organisational work","0:00",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Informal help to other households","0:08",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Participatory activities","0:04",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Visiting and feasts","0:24",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Other social life","0:34",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Entertainment and culture","0:05",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Resting","0:21",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Walking and hiking","0:15",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:10",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Computer games","0:04",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Computing","0:35",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:08",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Reading books","0:09",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Reading, except books","0:07",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","TV and video","2:24",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Radio and music","0:06",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Travel except travel related to jobs","1:05",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Travel to/from work","0:18",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Travel related to shopping and services","0:10",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Transporting a child","0:02",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Travel related to other household purposes","0:02",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:26",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Unspecified travel","0:00",""
"Time spent (hh:mm)","Greece","2010","All days of the week","Total","Unspecified time use","0:03",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Personal care","11:16",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Sleep","8:28",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Eating","1:59",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Other and/or unspecified personal care","0:50",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","3:02",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Main and second job and related travel","2:58",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:04",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Study","0:16",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","School and university except homework","0:05",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Homework","0:04",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Free time study","0:07",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Household and family care","3:19",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Food management except dish washing","0:42",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Dish washing","0:18",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Cleaning dwelling","0:26",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:10",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Laundry","0:06",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Ironing","0:05",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:03",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Gardening; other pet care","0:06",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Tending domestic animals","0:02",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Caring for pets","0:01",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Walking the dog","0:04",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Construction and repairs ","0:04",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Shopping and services","0:28",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:22",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Teaching, reading and talking with child","0:08",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Household management and help family member","0:15",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Leisure, social and associative life","4:53",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Organisational work","0:01",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Informal help to other households","0:10",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Participatory activities","0:04",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Visiting and feasts","0:17",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Other social life","0:22",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Entertainment and culture","0:06",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Resting","0:14",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Walking and hiking","0:31",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:11",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Computer games","0:03",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Computing","0:17",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:08",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Reading books","0:06",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Reading, except books","0:09",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","TV and video","2:11",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Radio and music","0:03",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Unspecified leisure ","0:00",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Travel except travel related to jobs","1:14",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Travel to/from work","0:22",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Travel related to study","0:02",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Travel related to shopping and services","0:11",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Transporting a child","0:07",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Travel related to other household purposes","0:03",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Travel related to leisure, social and associative life","0:24",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Unspecified travel","0:03",""
"Time spent (hh:mm)","Spain","2010","All days of the week","Total","Unspecified time use","0:02",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Personal care","11:26",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Sleep","8:22",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Eating","2:12",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Other and/or unspecified personal care","0:51",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","2:55",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Main and second job and related travel","2:51",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:04",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Study","0:14",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","School and university except homework","0:08",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Homework","0:04",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Free time study","0:01",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Household and family care","3:12",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Food management except dish washing","0:40",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Dish washing","0:11",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Cleaning dwelling","0:32",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:09",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Laundry","0:04",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Ironing","0:06",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:02",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Gardening; other pet care","0:10",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Tending domestic animals","0:01",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Caring for pets","0:02",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Walking the dog","0:03",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Construction and repairs ","0:14",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Shopping and services","0:27",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:16",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Teaching, reading and talking with child","0:07",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Household management and help family member","0:07",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Leisure, social and associative life","4:44",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Organisational work","0:02",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Informal help to other households","0:04",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Participatory activities","0:06",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Visiting and feasts","0:23",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Other social life","0:20",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Entertainment and culture","0:06",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Resting","0:26",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Walking and hiking","0:13",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:13",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Computer games","0:05",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Computing","0:21",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:09",""
"Time spent (hh:mm)","France","2010","All days of the week","Total","Reading books","0:01",""
